Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Elton Brand,,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2
Elgin Baylor,91.1,14.8,14.4,11.5,9.8,8.5,8.0,7.9,7.8,7.2,6.2,4.9,2.6,0.5,0.0,,,
Kevin McHale,88.6,14.8,11.1,11.0,11.0,10.5,10.2,10.1,7.9,7.5,7.5,4.7,4.0,2.8,,,,
Shawn Marion,87.9,14.6,13.0,12.5,12.0,11.7,9.8,9.1,7.4,5.6,5.3,5.2,5.0,4.3,4.1,3.7,1.7,
Pau Gasol,86.4,14.7,13.9,12.0,11.0,10.4,8.5,8.4,8.3,8.1,7.6,7.1,6.9,6.8,3.7,3.0,,
Scottie Pippen,86.0,13.1,12.7,12.3,11.8,11.2,11.2,8.6,7.8,6.6,5.7,5.1,4.9,4.0,3.8,3.7,2.3,0.3
Chet Walker,85.7,14.5,10.9,10.9,10.6,10.5,10.1,9.8,9.8,8.2,7.8,5.4,5.3,3.7,,,,
Jerry Lucas,85.4,12.7,11.2,10.5,10.1,9.9,9.5,8.1,7.9,7.8,7.3,3.4,,,,,,
Tracy McGrady,85.1,16.1,12.2,12.0,11.5,8.6,8.4,6.6,5.8,4.1,3.3,2.7,2.1,2.0,1.6,0.3,,
Detlef Schrempf,85.1,12.9,10.4,10.4,9.8,9.0,8.4,8.2,8.1,8.0,5.8,5.2,4.4,4.0,3.6,0.8,0.5,
Amar'e Stoudemire,84.5,14.6,14.6,11.2,10.7,8.0,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1,,,
