Player,Sim,1,2,3,4,5,6
Blake Griffin,,12.2,10.6,9.8,9.2,9.0,3.8
George McGinnis,92.7,11.6,11.4,10.1,8.6,8.5,5.3
Cedric Maxwell,91.2,12.2,11.7,11.0,9.1,6.6,4.2
Paul Pierce,91.1,12.9,10.4,10.1,8.2,7.1,4.9
Jerry Lucas,90.7,12.7,10.1,9.9,9.5,8.1,7.3
Roger Brown,90.6,13.3,10.9,10.0,9.3,7.3,6.1
Shawn Marion,90.2,13.0,12.5,11.7,9.8,9.1,4.1
Dominique Wilkins,90.1,12.2,10.8,9.8,7.6,7.0,5.8
Larry Nance,89.8,10.5,10.2,9.8,8.4,7.9,2.4
Vern Mikkelsen,89.5,13.2,12.0,10.9,9.2,8.9,6.6
Harry Gallatin,89.5,11.8,11.3,8.9,7.8,7.6,2.8
