Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Tony Allen,,5.1,4.7,4.2,4.1,2.7,2.7,2.7,2.4,1.9,1.9,1.7,1.6,,,,
Greg Anthony,88.5,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,,,
Ricky Sobers,87.7,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,,,
Guy Rodgers,86.6,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,,,
Eric Piatkowski,86.0,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0,,
Dell Curry,85.3,5.1,5.0,3.8,3.4,3.3,3.2,2.7,2.6,2.2,2.0,2.0,1.8,1.7,1.2,0.9,0.5
Jarrett Jack,85.2,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,,,,,
Mike Gale,85.0,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2.0,,,,,
T.R. Dunn,85.0,4.9,4.4,4.4,4.1,4.0,3.7,3.3,3.2,2.4,1.6,1.6,1.4,0.6,0.3,,
Rodney Stuckey,84.5,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,,,,,,,
Raymond Felton,83.9,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,,,,
