Player,Sim,1,2,3,4,5,6,7,8,9,10
Paul George,,10.8,9.2,9.0,6.0,2.4,0.0,,,,
Goose Ligon,86.1,9.9,9.7,6.5,6.3,2.4,1.0,0.3,,,
Kawhi Leonard,80.0,13.7,8.6,7.7,6.2,5.5,,,,,
John Beasley,78.7,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,,
Arnie Johnson,77.4,9.1,8.7,7.5,7.2,6.7,,,,,
Anthony Davis,77.3,14.0,10.4,7.2,6.1,,,,,,
Willie Wise,76.1,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0.0,
Fred Schaus,75.4,8.5,8.4,6.8,4.0,3.7,,,,,
Gordon Hayward,73.4,8.9,8.7,5.4,4.9,3.6,1.2,,,,
Josh Howard,71.3,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2
Trooper Washington,70.5,8.3,6.9,6.3,6.0,3.4,2.2,,,,
