Player,Sim,1,2,3,4,5,6,7,8,9
Josh McRoberts,,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.1
Ben Warley,87.3,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,
Jason Maxiell,83.9,6.3,4.1,2.6,1.8,1.8,1.7,0.5,0.3,-0.2
Joe Graboski,83.5,7.2,5.8,2.3,2.0,1.1,0.9,0.7,0.6,-0.1
John Williams,82.4,6.9,5.0,3.5,1.9,1.3,1.0,0.8,-0.5,
Markieff Morris,81.5,6.4,4.6,1.7,1.5,0.5,,,,
Albert King,79.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0.0,-0.1
Larry Krystkowiak,78.9,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1
Kris Humphries,78.3,5.4,5.3,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
Buck Johnson,77.9,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,
J.J. Hickson,77.8,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,
