Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Eddie Jones,,10.5,10.1,10.1,9.6,9.1,8.0,7.9,7.2,6.8,6.0,6.0,5.0,3.1,1.1,,,,
Hal Greer,93.0,11.2,9.9,9.5,8.5,8.2,8.1,7.9,7.6,6.6,6.2,5.8,5.1,4.5,3.5,0.1,,,
Jeff Hornacek,92.8,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5.0,1.2,,,,
Maurice Cheeks,91.4,10.6,9.4,9.0,8.6,8.5,8.3,7.9,7.9,7.3,7.1,5.3,5.2,4.9,2.1,1.3,,,
Lenny Wilkens,91.0,10.1,9.6,9.5,9.0,8.1,7.6,7.6,6.5,5.7,5.0,4.9,4.9,4.0,2.7,0.4,,,
Tony Parker,90.0,9.6,9.6,9.3,8.6,8.2,8.1,7.7,7.5,7.1,7.0,5.9,5.8,4.1,3.8,3.6,,,
Allen Iverson,90.0,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,
Hersey Hawkins,89.4,10.9,9.8,9.5,8.7,8.6,8.5,8.0,7.8,6.5,4.0,3.5,2.6,2.3,,,,,
Sam Jones,89.3,12.8,10.0,9.6,9.6,8.9,8.1,7.7,7.5,5.9,5.3,4.9,2.1,,,,,,
Jason Terry,88.7,10.8,9.6,8.6,8.6,8.5,7.4,7.3,6.5,6.5,5.3,5.1,4.0,3.8,3.6,1.9,1.5,0.2,
Vince Carter,88.1,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,6.0,5.0,4.3,4.2,3.8,2.9,1.8,1.0
